"doc_id","text"
"1130309268043948039","Love is the death of duty....

And smtimes, Duty is the death of Love!
#GOT #GameOfThrones 
#MondayMotivation"
"1130309267985055744","Cuando visitas a tu novia y ella te pregunta si quieres ir a ver Netflix en su cuarto #GameOfThrones https://t.co/CqdegjBBVo"
"1130309267951476736","Season 8 of #GameOfThrones is a prime example of why the end result means nothing without seeing the journey. They took what should have been at least a couple more seasons of development and shoved it into four episodes. What a sad way to end what was once such a fabulous story."
"1130309267930734593","At least we got this. #GameofThrones https://t.co/cF4GpHf1oy"
"1130309267880386561","Drogon me emocionou real.
Melhor ator de GOT.
Merece um Emmy! <U+0001F3C6><U+0001F409>
#GameOfThrones"
"1130309267851010049","#DaenerysTargaryen siempre vivir<U+00E1> en Drogon su hijo. #EscenaPerfecta #LaMal<U+00E9>ficaDeWesteros #GameOfThrones #TheFinalEpisode #ForTheThrone https://t.co/QSAteCGl8l"
"1130309267838234624","I thought Game of thrones was the greatest piece of fiction ive ever watched but because of this season and ending.....

One piece will forever be the GOAT #GameOfThrones"
"1130309267821604869","Una de las mejores escenas de <U+00E9>ste episodio, siempre te recordaremos Daenerys Targaryen.

#GameOfThrones https://t.co/AVCfworxsW"
"1130309267787927553","sansa @ all her haters after outliving all her abusers, getting the north's independence and being crowned the queen in the north #GameOfThrones #SansaStark #SansaHive https://t.co/x2D5RICoBo"
"1130309267783933952","@GameOfThrones https://t.co/BIhIZBtaQN"
"1130309267758735361","E no lar dos Starks:
Viva #SansaStark! A Rainha do Norte! #iG #GameofThrones #GameOfThronesFinale #GOT #forthethrone #GoTS8 https://t.co/3lFJWuysib"
"1130309267746185216","Drogon didn<U+2019>t kill Jon because he didn<U+2019>t blame him for killing Daenerys, he blamed the iron throne. Drogon knew that the iron throne killed his mother, Drogon finished his mother<U+2019>s wishes and broke the wheel! this scene was heartbreaking<U+0001F623> #GameOfThrones https://t.co/reatxPpcU8"
